rank,O score,matrix,c1,m1,c2,m2
163,2.0131682506075865,"         114       86
371 7.13E+01 1.05E+02
401 8.64E+01 1.01E+02",114,401,86,371
164,2.013140594816857,"         114       99
368 7.19E+01 9.75E+01
381 8.73E+01 9.41E+01",114,381,99,368
165,2.0131364350519005,"         114       78
383 8.62E+01 9.76E+01
457 7.15E+01 1.02E+02",114,383,78,457
166,2.0131356616107845,"         114       NP
366 7.01E+01 1.04E+02
383 8.62E+01 1.01E+02",114,383,NP,366
167,2.0131347955101764,"         104      114
305 8.65E+01 8.04E+01
368 9.73E+01 7.19E+01",104,368,114,305
168,2.0131306967120737,"         114      128
363 7.00E+01 1.01E+02
400 8.44E+01 9.68E+01",114,400,128,363
169,2.013116623408553,"         101      114
363 9.52E+01 7.00E+01
397 9.14E+01 8.46E+01",101,363,114,397
170,2.013114036931021,"         114       79
383 8.62E+01 1.01E+02
458 7.13E+01 1.06E+02",114,383,79,458
171,2.0131053780438344,"         114       86
297 8.36E+01 9.90E+01
373 7.17E+01 1.07E+02",114,297,86,373
172,2.013103686065064,"         114       79
363 7.00E+01 1.09E+02
411 8.62E+01 1.06E+02",114,411,79,363
173,2.0131019183350576,"         114      128
363 7.00E+01 1.01E+02
417 8.38E+01 9.62E+01",114,417,128,363
174,2.0130918279553005,"         114       99
305 8.04E+01 8.84E+01
370 7.14E+01 9.86E+01",114,305,99,370
175,2.0130637575960986,"         114      128
366 7.01E+01 1.00E+02
397 8.46E+01 9.64E+01",114,397,128,366
176,2.013055407357219,"         101      114
363 9.52E+01 7.00E+01
404 9.27E+01 8.58E+01",101,363,114,404
177,2.0130528986908764,"         114       86
370 7.14E+01 1.05E+02
381 8.73E+01 1.02E+02",114,381,86,370
178,2.0130424354102057,"         114       99
366 7.01E+01 9.74E+01
398 8.59E+01 9.49E+01",114,398,99,366
179,2.013030855691448,"         101      114
369 9.43E+01 7.30E+01
381 8.97E+01 8.73E+01",101,369,114,381
180,2.0130200059437784,"         114      128
371 7.13E+01 9.94E+01
383 8.62E+01 9.56E+01",114,383,128,371
181,2.0130196509247447,"         114       79
363 7.00E+01 1.09E+02
398 8.59E+01 1.06E+02",114,398,79,363
182,2.013015550004298,"         114       99
261 7.36E+01 1.02E+02
297 8.36E+01 9.21E+01",114,297,99,261
183,2.0130056031351398,"         114       78
383 8.62E+01 9.76E+01
452 7.23E+01 1.03E+02",114,383,78,452
184,2.0129842570003462,"         101      114
261 9.87E+01 7.36E+01
393 9.02E+01 8.45E+01",101,261,114,393
185,2.0129835212106055,"         114       NP
366 7.01E+01 1.04E+02
390 8.63E+01 1.02E+02",114,390,NP,366
186,2.012956921778157,"         114       99
371 7.13E+01 9.81E+01
384 8.73E+01 9.55E+01",114,384,99,371
187,2.0129539384852584,"         114      128
375 7.12E+01 9.71E+01
381 8.73E+01 9.48E+01",114,381,128,375
188,2.012928128454734,"         114      128
366 7.01E+01 1.00E+02
385 8.32E+01 9.49E+01",114,385,128,366
189,2.0129278413284255,"         114       99
363 7.00E+01 1.01E+02
394 8.28E+01 9.55E+01",114,394,99,363
190,2.012907072201811,"         114      128
363 7.00E+01 1.01E+02
392 8.33E+01 9.58E+01",114,392,128,363
191,2.012906542561277,"         114       99
261 7.36E+01 1.02E+02
383 8.62E+01 9.50E+01",114,383,99,261
192,2.012904614071031,"         104      114
297 9.08E+01 8.36E+01
375 9.70E+01 7.12E+01",104,375,114,297
193,2.0129038464404108,"         114       79
366 7.01E+01 1.04E+02
383 8.62E+01 1.01E+02",114,383,79,366
194,2.012886418098915,"         104      114
297 9.08E+01 8.36E+01
369 9.94E+01 7.30E+01",104,369,114,297
195,2.0128720347562408,"         114       78
264 7.56E+01 1.10E+02
391 8.49E+01 9.84E+01",114,391,78,264
196,2.0128449826965498,"         114       79
297 8.36E+01 9.92E+01
443 7.23E+01 1.08E+02",114,297,79,443
197,2.0128374226126238,"         114      128
370 7.14E+01 9.77E+01
384 8.73E+01 9.51E+01",114,384,128,370
198,2.0128318624704535,"         101      114
363 9.52E+01 7.00E+01
385 9.01E+01 8.32E+01",101,363,114,385
199,2.0128201325251855,"         114       99
366 7.01E+01 9.74E+01
390 8.63E+01 9.55E+01",114,390,99,366
200,2.0128086991654404,"         114      128
371 7.13E+01 9.94E+01
398 8.59E+01 9.55E+01",114,398,128,371
201,2.0127818704044786,"         114       79
363 7.00E+01 1.09E+02
404 8.58E+01 1.06E+02",114,404,79,363
202,2.0127576465186925,"         101      114
375 9.33E+01 7.12E+01
390 9.02E+01 8.63E+01",101,375,114,390
203,2.0127425009128337,"         114       99
297 8.36E+01 9.21E+01
370 7.14E+01 9.86E+01",114,297,99,370
204,2.012741674911335,"         114      128
261 7.36E+01 1.04E+02
393 8.45E+01 9.49E+01",114,393,128,261
205,2.0127195929274047,"         101      114
261 9.87E+01 7.36E+01
387 8.92E+01 8.34E+01",101,261,114,387
206,2.012711005323512,"         114       99
363 7.00E+01 1.01E+02
407 8.31E+01 9.60E+01",114,407,99,363
207,2.012708075724892,"         114      128
363 7.00E+01 1.01E+02
416 8.34E+01 9.61E+01",114,416,128,363
208,2.0126766092331763,"         101      114
261 9.87E+01 7.36E+01
305 8.61E+01 8.04E+01",101,261,114,305
209,2.0126702380872734,"         114       99
363 7.00E+01 1.01E+02
419 8.33E+01 9.63E+01",114,419,99,363
210,2.012667668661923,"         114       99
363 7.00E+01 1.01E+02
416 8.34E+01 9.64E+01",114,416,99,363
211,2.0126613870163856,"         114      128
261 7.36E+01 1.04E+02
411 8.62E+01 9.68E+01",114,411,128,261
212,2.0126595739242656,"         114       86
366 7.01E+01 1.04E+02
383 8.62E+01 1.02E+02",114,383,86,366
213,2.0126581808374904,"         114       99
261 7.36E+01 1.02E+02
398 8.59E+01 9.49E+01",114,398,99,261
214,2.0126538179302758,"         114      128
366 7.01E+01 1.00E+02
380 8.30E+01 9.49E+01",114,380,128,366
215,2.0126390952880744,"         114      128
355 7.99E+01 9.22E+01
363 7.00E+01 1.01E+02",114,355,128,363
216,2.012632145339281,"         114       99
305 8.04E+01 8.84E+01
371 7.13E+01 9.81E+01",114,305,99,371
217,2.0126238530757212,"         114       79
373 7.17E+01 1.05E+02
390 8.63E+01 1.01E+02",114,390,79,373
218,2.0126203281279995,"         114       86
363 7.00E+01 1.03E+02
401 8.64E+01 1.01E+02",114,401,86,363
219,2.0126128086273263,"         114       99
363 7.00E+01 1.01E+02
405 8.34E+01 9.65E+01",114,405,99,363
220,2.0126109744043714,"         114       99
370 7.14E+01 9.86E+01
383 8.62E+01 9.50E+01",114,383,99,370
221,2.0126008589572155,"         114       86
373 7.17E+01 1.07E+02
383 8.62E+01 1.02E+02",114,383,86,373
222,2.012594908382944,"         114      128
316 7.91E+01 9.13E+01
363 7.00E+01 1.01E+02",114,316,128,363
223,2.0125858096134746,"         114      128
313 7.77E+01 8.97E+01
363 7.00E+01 1.01E+02",114,313,128,363
224,2.012573189900159,"         114      128
363 7.00E+01 1.01E+02
406 8.32E+01 9.60E+01",114,406,128,363
225,2.0125720712263666,"         114      128
363 7.00E+01 1.01E+02
389 8.23E+01 9.49E+01",114,389,128,363
226,2.0125541645832694,"         114       86
375 7.12E+01 1.04E+02
381 8.73E+01 1.02E+02",114,381,86,375
227,2.012536680403888,"         114      128
375 7.12E+01 9.71E+01
384 8.73E+01 9.51E+01",114,384,128,375
228,2.012522645398884,"         114       99
366 7.01E+01 9.74E+01
397 8.46E+01 9.39E+01",114,397,99,366
229,2.0125199376142504,"         101      114
261 9.87E+01 7.36E+01
401 9.26E+01 8.64E+01",101,261,114,401
230,2.0125149929704294,"         114       99
363 7.00E+01 1.01E+02
417 8.38E+01 9.70E+01",114,417,99,363
231,2.012513264612693,"         101      114
370 9.34E+01 7.14E+01
390 9.02E+01 8.63E+01",101,370,114,390
232,2.0124979617256864,"         101      114
375 9.33E+01 7.12E+01
384 9.14E+01 8.73E+01",101,375,114,384
233,2.0124756332657725,"         114       79
37  7.06E+01 1.04E+02
390 8.63E+01 1.01E+02",114,390,79,37
